1.000000000000000000e+00 1.000000000000000000e+00 3.394112549695427816e+01 9.281948621081387264e-06 -9.294060846628970392e-06 -9.294060846628970392e-06 -5.781362692701804079e-09
1.000000000000000000e+00 2.000000000000000000e+00 3.324154027718932269e+01 1.858812169325794078e-05 -1.861337540025713048e-05 -9.329981791920016849e-06 -1.154462851559098226e-08
1.000000000000000000e+00 3.000000000000000000e+00 3.255764119219941222e+01 2.794191220492142096e-05 -2.798149056168227451e-05 -9.387574967268745823e-06 -1.727079947531199081e-08
1.000000000000000000e+00 4.000000000000000000e+00 3.189043743820394994e+01 3.736327162779543243e-05 -3.742027794553929633e-05 -9.463835345758879391e-06 -2.294240111751840328e-08
1.000000000000000000e+00 5.000000000000000000e+00 3.124099870362661591e+01 4.686958289643917974e-05 -4.694642105030971750e-05 -9.553982302801977455e-06 -2.853928815346122149e-08
1.000000000000000000e+00 6.000000000000000000e+00 3.061045573002793319e+01 5.647123623339938734e-05 -5.657310250820660983e-05 -9.652279521525868164e-06 -3.404437645950441314e-08
1.000000000000000000e+00 7.000000000000000000e+00 3.000000000000000000e+01 6.617414193949091607e-05 -6.630467984129546270e-05 -9.751154056888179384e-06 -3.943623631548731330e-08
1.000000000000000000e+00 8.000000000000000000e+00 2.941088233970548416e+01 7.597354434717574611e-05 -7.613998051093489325e-05 -9.842014804839495075e-06 -4.469806045095009754e-08
1.000000000000000000e+00 9.000000000000000000e+00 2.884441020371191300e+01 8.585817154916990622e-05 -8.606527486431912754e-05 -9.914468055642733217e-06 -4.980717078070719551e-08
1.000000000000000000e+00 1.000000000000000000e+01 2.830194339616981125e+01 9.580248045846121254e-05 -9.605922153897066343e-05 -9.957192547462470991e-06 -5.474709747773054110e-08
1.000000000000000000e+00 1.100000000000000000e+01 2.778488797889960793e+01 1.057725566440948482e-04 -1.060844154736753707e-04 -9.957345536008280120e-06 -5.949416637853334293e-08
1.000000000000000000e+00 1.200000000000000000e+01 2.729468812791236232e+01 1.157171715304777728e-04 -1.160941706104539635e-04 -9.901570973573094701e-06 -6.403251060869833474e-08
1.000000000000000000e+00 1.300000000000000000e+01 2.683281572999747766e+01 1.255756985912410376e-04 -1.260231306376395231e-04 -9.775695459173072547e-06 -6.833794321982192884e-08
1.000000000000000000e+00 1.400000000000000000e+01 2.640075756488817049e+01 1.352685624488239179e-04 -1.357962413719251450e-04 -9.565934269127767168e-06 -7.239567112109310688e-08
1.000000000000000000e+00 1.500000000000000000e+01 2.600000000000000000e+01 1.447075671294965719e-04 -1.453191028063368848e-04 -9.258936636072641444e-06 -7.618169116130639115e-08
1.000000000000000000e+00 1.600000000000000000e+01 2.563201123595259290e+01 1.537864357209692008e-04 -1.544895799086930374e-04 -8.843182911718320193e-06 -7.968292767665974708e-08
1.000000000000000000e+00 1.700000000000000000e+01 2.529822128134703618e+01 1.623939329529332123e-04 -1.631886224653841518e-04 -8.309327309303187045e-06 -8.287642061620555892e-08
1.000000000000000000e+00 1.800000000000000000e+01 2.500000000000000000e+01 1.704050903395755749e-04 -1.712948387077840536e-04 -7.651633666069281026e-06 -8.575156471165266969e-08
1.000000000000000000e+00 1.900000000000000000e+01 2.473863375370596174e+01 1.776972002850717744e-04 -1.786762494828069532e-04 -6.868388414200111394e-06 -8.828738603321411964e-08
1.000000000000000000e+00 2.000000000000000000e+01 2.451530134426252516e+01 1.841418671679757976e-04 -1.852076555784198421e-04 -5.963042641248222486e-06 -9.047652441405192991e-08
1.000000000000000000e+00 2.100000000000000000e+01 2.433105012119287736e+01 1.896232855675682193e-04 -1.907631329432531836e-04 -4.944310218489648403e-06 -9.230092067508176637e-08
1.000000000000000000e+00 2.200000000000000000e+01 2.418677324489564739e+01 1.940304876049550944e-04 -1.952351771806505598e-04 -3.826593015020823981e-06 -9.375715600666177565e-08
1.000000000000000000e+00 2.300000000000000000e+01 2.408318915758459156e+01 1.972764715976098673e-04 -1.985268555789002651e-04 -2.629390363117025710e-06 -9.483089639944356289e-08
1.000000000000000000e+00 2.400000000000000000e+01 2.402082429892862692e+01 1.992892683311891459e-04 -2.005708611861211797e-04 -1.376733908587380564e-06 -9.552318414832606380e-08
1.000000000000000000e+00 2.500000000000000000e+01 2.400000000000000000e+01 2.000299394147846284e-04 -2.013196335647112075e-04 -9.582400863220659915e-08 -9.582400863220659915e-08
1.000000000000000000e+00 2.600000000000000000e+01 2.402082429892862692e+01 1.994809163484535591e-04 -2.007622191659842704e-04 1.184389902949222438e-06 -9.573913613369173462e-08
1.000000000000000000e+00 2.700000000000000000e+01 2.408318915758459156e+01 1.976611596088861836e-04 -1.989109504100609860e-04 2.434968810614073181e-06 -9.526319622266089457e-08
1.000000000000000000e+00 2.800000000000000000e+01 2.418677324489564739e+01 1.946109787272254127e-04 -1.958147997870965959e-04 3.628689770926899296e-06 -9.440663601486144058e-08
1.000000000000000000e+00 2.900000000000000000e+01 2.433105012119287736e+01 1.904037800670323850e-04 -1.915424449124216865e-04 4.741519469996885406e-06 -9.316872762117666198e-08
1.000000000000000000e+00 3.000000000000000000e+01 2.451530134426252516e+01 1.851279397872316419e-04 -1.861922877562582294e-04 5.753924886299719159e-06 -9.156424042925086909e-08
1.000000000000000000e+00 3.100000000000000000e+01 2.473863375370596174e+01 1.788959302944329467e-04 -1.798732188692009110e-04 6.651491695206239625e-06 -8.959678558719420122e-08
1.000000000000000000e+00 3.200000000000000000e+01 2.500000000000000000e+01 1.718249563968191626e-04 -1.727127094925493423e-04 7.425463647472144895e-06 -8.728481312734787025e-08
