1.000000000000000000e+00 4.471000000000000000e+03
1.050000000000000044e+00 4.068000000000000000e+03
1.100000000000000089e+00 3.699000000000000000e+03
1.149999999999999911e+00 3.361000000000000000e+03
1.199999999999999956e+00 3.048000000000000000e+03
1.250000000000000000e+00 2.759000000000000000e+03
1.300000000000000044e+00 2.490000000000000000e+03
1.350000000000000089e+00 2.239000000000000000e+03
1.399999999999999911e+00 2.004000000000000000e+03
1.449999999999999956e+00 1.784000000000000000e+03
1.500000000000000000e+00 1.576000000000000000e+03
1.550000000000000044e+00 1.380000000000000000e+03
1.600000000000000089e+00 1.193000000000000000e+03
1.649999999999999911e+00 1.016000000000000000e+03
1.700000000000000178e+00 8.460000000000000000e+02
1.750000000000000000e+00 6.810000000000000000e+02
1.800000000000000044e+00 5.190000000000000000e+02
1.850000000000000089e+00 3.510000000000000000e+02
1.899999999999999911e+00 1.900000000000000000e+02
1.950000000000000178e+00 3.870000000000000000e+02
