5.500000000000000444e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.600000000000000533e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.700000000000000622e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.800000000000000711e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.900000000000000799e-01 9.757575757575757958e-02 3.903030303030303013e-05 1.342516069788797228e-01 1.070991623546657618e-04
6.000000000000000888e-01 4.981294964028776806e-01 1.992517985611510774e-04 1.610040888152787009e+00 1.662972524575234787e-03
6.100000000000000977e-01 4.116582914572864405e-01 1.646633165829145657e-04 3.273003206989722358e+00 2.661599690435122872e-03
6.200000000000001066e-01 2.788643216080401999e+00 1.115457286432160796e-03 1.176812403727178591e+01 1.068950076082707777e-02
6.300000000000001155e-01 6.743517587939697577e+00 2.697407035175878893e-03 2.696591399207090944e+01 2.311628085331276020e-02
6.400000000000001243e-01 1.043748743718592920e+01 4.174994974874371781e-03 6.142209641170676804e+01 4.736502085755157215e-02
6.500000000000001332e-01 1.305608040201004982e+01 5.222432160804020215e-03 4.691068912401201629e+01 4.017503383935561168e-02
6.600000000000001421e-01 1.600814070351758645e+01 6.403256281407034359e-03 6.139879700007574570e+01 4.092405504578820741e-02
6.700000000000001510e-01 1.813628140703517744e+01 7.254512562814070809e-03 3.401368046261458744e+01 2.846382437421483488e-02
6.800000000000001599e-01 2.062663316582914419e+01 8.250653266331658270e-03 4.506634276912199510e+01 5.674982662769141595e-02
6.900000000000001688e-01 2.213075376884421885e+01 8.852301507537687145e-03 3.383351430519431347e+01 2.777262996641874718e-02
7.000000000000001776e-01 2.411356783919598001e+01 9.645427135678391953e-03 2.782104694325900240e+01 2.521107174162177944e-02
